"name","dev-image","qa-image","uat-image","npd-image","prod-image","dev-replicas","qa-replicas","uat-replicas","npd-replicas","prod-replicas"
"sf-account-link-context-translator","snapshot:2025-02-04.110.eafc6cce","candidate:2024-11-05.90.df71165a","release:2024-11-05.90.df71165a","release:2024-11-05.90.df71165a","release:2024-11-05.90.df71165a","1","3","3","3","3"
"sf-bank-account-context-translator","snapshot:2025-02-04.110.eafc6cce","candidate:2024-11-05.90.df71165a","release:2024-11-05.90.df71165a","release:2024-11-05.90.df71165a","release:2024-11-05.90.df71165a","1","3","3","3","3"
"sf-cancel-payment-notification-context-translator","snapshot:2025-02-04.110.eafc6cce","candidate:2024-11-05.90.df71165a","release:2024-11-05.90.df71165a","release:2024-11-05.90.df71165a","release:2024-11-05.90.df71165a","0","0","0","0","0"
"sf-create-user-context-translator","snapshot:2025-02-04.110.eafc6cce","sf-create-user-context-translator","sf-create-user-context-translator","sf-create-user-context-translator","sf-create-user-context-translator","1","0","0","0","0"
"sf-marketing-cloud-email-context-translator","snapshot:2025-02-04.110.eafc6cce","candidate:2024-11-05.90.df71165a","release:2024-11-05.90.df71165a","release:2024-11-05.90.df71165a","release:2024-11-05.90.df71165a","1","1","3","3","3"
"sf-pay-by-bank-notification-context-translator","snapshot:2025-02-04.110.eafc6cce","candidate:2024-11-05.90.df71165a","release:2024-11-05.90.df71165a","release:2024-11-05.90.df71165a","release:2024-11-05.90.df71165a","0","0","0","0","0"
"sf-send-grid-email-context-translator",,"candidate:20240405.152037","release:20240405.152037","release:20240405.152037","release:20240405.152037",,"1","0","0","0"
"sf-start-service-context-translator","snapshot:2025-02-04.110.eafc6cce","candidate:2024-11-05.90.df71165a","release:2024-11-05.90.df71165a","release:2024-11-05.90.df71165a","release:2024-11-05.90.df71165a","1","1","3","3","3"
"start-service-context-translator","snapshot:2025-02-24.952","candidate:2025-02-24.952","release:2025-02-24.952","release:2025-02-24.952","release:2025-02-18.951","1","1","1","1","3"
"stop-service-context-translator","snapshot:2025-02-24.952","candidate:2025-02-24.952","release:2025-02-24.952","release:2025-02-24.952","release:2025-02-18.951","1","1","3","3","3"
"street-info-event-builder","snapshot:2025-02-24.952","candidate:2025-02-24.952","release:2025-02-24.952","release:2025-02-24.952","release:2025-02-18.951","1","1","3","3","3"
"submit-meter-reading-api","snapshot:2025-02-17.154.2908a05f","candidate:2025-02-17.154.2908a05f","release:2025-02-17.154.2908a05f","release:2025-02-17.154.2908a05f","release:2025-02-17.154.2908a05f","1","1","3","3","5"
"submit-meter-reading-audit-processor","snapshot:2025-02-17.154.2908a05f","candidate:2025-02-17.154.2908a05f","release:2025-02-17.154.2908a05f","release:2025-02-17.154.2908a05f","release:2025-02-17.154.2908a05f","1","1","1","1","1"
"submit-meter-reading-consumer","snapshot:2025-02-17.154.2908a05f","candidate:2025-02-17.154.2908a05f","release:2025-02-17.154.2908a05f","release:2025-02-17.154.2908a05f","release:2025-02-17.154.2908a05f","1","1","3","3","3"
"submit-meter-reading-context-translator","snapshot:2025-02-24.952","candidate:2025-02-24.952","release:2025-02-24.952","release:2025-02-24.952","release:2025-02-18.951","1","3","3","3","3"
"submit-meter-reading-event-orchestrator","snapshot:2025-02-17.154.2908a05f","candidate:2025-02-17.154.2908a05f","release:2025-02-17.154.2908a05f","release:2025-02-17.154.2908a05f","release:2025-02-17.154.2908a05f","1","3","3","3","3"
"submit-meter-reading-workflow-processor","snapshot:2025-02-17.154.2908a05f","candidate:2025-02-17.154.2908a05f","release:2025-02-17.154.2908a05f","release:2025-02-17.154.2908a05f","release:2025-02-17.154.2908a05f","1","1","1","1","1"
"supplier-comparison-api","snapshot:2024-12-05.53.44dbc55e","candidate:2024-12-05.53.44dbc55e","release:2024-12-05.53.44dbc55e","release:2024-12-05.53.44dbc55e","release:2024-12-05.53.44dbc55e","1","1","3","3","3"
"suspended-charges-audit-processor","snapshot:2024-12-05.40.c1d75496","candidate:2024-12-05.40.c1d75496","release:2024-12-05.40.c1d75496","release:2024-12-05.40.c1d75496","release:2024-12-05.40.c1d75496","1","1","1","1","1"
"suspended-charges-event-builder","snapshot:2025-02-24.952","candidate:2025-02-24.952","release:2025-02-24.952","release:2025-02-24.952","release:2025-02-18.951","1","1","3","3","3"
"tcpa-communications-pref-event-builder","snapshot:2025-02-24.952","candidate:2025-02-24.952","release:2025-02-24.952","release:2025-02-24.952","release:2025-02-18.951","1","3","3","3","3"
"tcpa-updated-context-translator","snapshot:2025-02-24.952","candidate:2025-02-24.952","release:2025-02-24.952","release:2025-02-24.952","release:2025-02-18.951","1","1","3","3","3"
"tips-context-translator-api","snapshot:2025-01-22.62.2687d472","candidate:2025-01-22.62.2687d472","release:2025-01-22.62.2687d472","release:2025-01-22.62.2687d472","release:2025-01-22.62.2687d472","1","1","1","1","1"
"total-usage-header-event-builder","snapshot:2025-02-24.952","candidate:2025-02-24.952","release:2025-02-24.952","release:2025-02-24.952","release:2025-02-18.951","1","10","10","10","10"
"udm-context-translator","snapshot:2025-02-14.194","candidate:2025-02-14.194","release:2025-02-14.194","release:2025-02-14.194","release:2025-02-05.179.e28f3939","1","3","3","3","3"
